#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-08T23:04:51 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6110576e3c04da	
#INFO	-out.max=unlimited	
#INFO	queryParameters=12	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:IV/24&tab:{IV/24/table2}&key:source=IV/24/table2&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=IV/24/table2
#-order=I
#-out=PK
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_4024
#Name: IV/24
#Title: Catalogue of Galactic Planetary Nebulae (Kohoutek, 2001)
#Table	IV_24_table2:
#Name: IV/24/table2
#Title: List of Planetary Nebulae (according to right ascension)
#Column	PK	(A9)	[0-9. +-] PK designation, as in CGPN	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A7)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A6)	Declination J2000	[ucd=pos.eq.dec;meta.main]
PK;RAJ2000;DEJ2000
043-13.1 ;19 58.4;+03 03
068+01.2 ;19 59.3;+31 54
060-03.1 ;19 59.6;+22 43
060-04.1 ;20 00.2;+21 43
070+02.1 ;19 59.9;+34 29
042-14.1 ;20 00.6;+01 43
069+01.2 ;20 00.7;+32 27
029-21.1 ;20 01.9;-12 42
058-05.1 ;20 01.7;+19 54
056-06.1 ;20 02.6;+17 36
067-00.1 ;20 03.2;+30 32
064-02.1 ;20 03.4;+27 00
075+04.1 ;20 04.3;+39 36
084+09.1 ;20 04.0;+49 20
068-00.1 ;20 04.8;+31 28
063-03.1 ;20 05.0;+25 27
069+00.1 ;20 07.0;+32 17
107+21.1 ;20 04.3;+74 27
079+06.1 ;20 06.9;+44 15
065-03.1 ;20 09.1;+26 27
078+05.1 ;20 08.7;+42 30
079+05.1 ;20 09.1;+43 44
057-08.1 ;20 10.5;+16 55
082+07.1 ;20 10.4;+46 28
074+02.1 ;20 10.8;+37 25
060-07.1 ;20 11.9;+20 20
060-07.2 ;20 12.7;+19 59
077+03.1 ;20 12.5;+40 45
072+00.1 ;20 12.8;+34 20
068-02.1 ;20 13.9;+29 34
054-12.1 ;20 15.2;+12 42
077+03.2 ;20 15.4;+40 35
069-02.1 ;20 16.4;+30 34
065-05.1 ;20 17.3;+25 21
077+02.1 ;20 17.2;+39 45
076+01.2 ;20 17.2;+38 50
359-33.1 ;20 19.5;-41 32
066-05.1 ;20 19.6;+27 00
058-10.1 ;20 20.2;+16 44
076+01.1 ;20 19.9;+38 25
071-02.1 ;20 21.1;+32 30
069-03.1 ;20 21.9;+30 00
061-09.1 ;20 22.4;+20 07
083+05.1 ;20 22.3;+47 04
073-02.2 ;20 24.5;+34 02
073-02.1 ;20 25.1;+33 35
064-09.1 ;20 28.2;+22 51
079+00.1 ;20 28.3;+40 20
078+00.1 ;20 29.3;+40 15
038-25.1 ;20 31.6;-07 06
086+05.1 ;20 31.9;+48 53
085+04.1 ;20 32.4;+47 21
063-12.1 ;20 35.9;+20 11
078-02.1 ;20 42.3;+37 41
072-07.1 ;20 42.8;+30 04
084+01.1 ;20 45.1;+44 39
088+04.1 ;20 45.4;+50 23
076-05.1 ;20 48.3;+34 27
059-18.1 ;20 50.1;+13 33
092+05.1 ;20 53.3;+53 45
086+00.1 ;20 55.7;+46 34
095+07.1 ;20 56.4;+57 26
093+05.2 ;21 00.6;+54 33
037-34.1 ;21 04.2;-11 22
006-41.1 ;21 05.8;-37 09
089+00.1 ;21 06.3;+47 51
084-03.1 ;21 07.1;+42 14
084-04.1 ;21 07.7;+40 58
091+01.1 ;21 10.8;+50 47
089-00.1 ;21 14.1;+47 46
088-01.1 ;21 14.3;+46 17
072-17.1 ;21 16.8;+24 09
080-10.1 ;21 17.2;+34 13
087-03.1 ;21 18.1;+43 49
089-02.1 ;21 19.1;+46 19
083-08.1 ;21 22.3;+38 07
101+08.1 ;21 26.4;+62 53
098+04.1 ;21 27.5;+57 39
065-27.1 ;21 30.0;+12 10
093-00.2 ;21 30.0;+51 04
096+02.1 ;21 30.0;+54 27
093-00.1 ;21 30.9;+50 00
095+00.1 ;21 31.8;+52 34
089-05.1 ;21 32.5;+44 35
086-08.1 ;21 33.1;+39 38
081-14.1 ;21 35.5;+31 41
094-00.1 ;21 35.8;+50 54
066-28.1 ;21 36.9;+12 47
093-02.1 ;21 37.0;+48 57
091-04.1 ;21 38.8;+46 01
098+02.1 ;21 39.2;+55 46
100+04.1 ;21 41.0;+58 59
095-02.1 ;21 43.3;+50 25
104+07.1 ;21 46.1;+63 48
097-02.1 ;21 57.7;+51 41
002-52.1 ;21 59.6;-39 24
107+07.1 ;22 13.3;+65 54
103+00.1 ;22 16.1;+57 29
111+11.1 ;22 19.6;+70 56
104+00.1 ;22 20.3;+58 14
103+00.2 ;22 20.5;+57 36
100-05.1 ;22 23.9;+50 58
102-02.1 ;22 26.3;+54 49
036-57.1 ;22 29.6;-20 51
104-01.2 ;22 30.1;+56 11
099-08.1 ;22 30.6;+47 31
100-08.1 ;22 31.7;+47 48
104-01.1 ;22 32.3;+56 10
102-05.1 ;22 34.7;+52 27
105+00.1 ;22 35.0;+58 25
107+02.1 ;22 40.4;+61 17
117+18.1 ;22 42.4;+80 27
107-00.1 ;22 48.6;+58 29
111+06.1 ;22 49.1;+67 02
108+00.1 ;22 50.9;+59 30
106-04.1 ;22 54.7;+54 56
107-02.2 ;22 55.1;+56 42
107-02.1 ;22 56.3;+57 09
110+01.1 ;22 58.9;+61 58
112+03.1 ;23 12.3;+64 39
110-01.1 ;23 13.1;+59 17
111-03.1 ;23 22.5;+57 46
107-13.1 ;23 23.0;+46 54
112-00.1 ;23 24.1;+60 57
106-17.1 ;23 25.9;+42 33
111-02.1 ;23 26.3;+58 11
116+08.1 ;23 31.9;+70 23
104-29.1 ;23 35.9;+30 28
110-12.1 ;23 39.1;+48 13
120+18.1 ;23 45.1;+80 57
114-04.1 ;23 45.7;+57 04
113-06.1 ;23 46.8;+54 45
112-10.1 ;23 47.8;+51 24
116+00.1 ;23 52.4;+62 33
118+08.1 ;23 56.6;+70 49
118+08.2 ;00 01.6;+70 43

